,0
0,5550713
1,4989037
2,4921609
3,4928134
4,3102434
5,2245871
6,5031833
7,4958385
8,5038788
9,2113911
10,5680277
11,7222000
12,2193933
13,6574259
14,4880635
15,7626302
16,2979310
17,5276322
18,6718907
19,6604594
20,7373439
21,5452556
22,7431732
23,3061394
24,2087880
25,2202607
26,3478422
27,5125139
28,7843982
29,5469879
30,3028968
31,5116526
32,5643580
33,4742415
34,6915542
35,6967408
36,7570102
37,2245803
38,7640955
39,5400892
40,5222369
41,7775433
42,4818011
43,3348810
44,7513981
45,7505407
46,4673688
47,5637008
48,5505370
49,7403764
50,2707600
51,5109341
52,5681751
53,3629789
54,4658615
55,6790301
56,7796724
57,2262978
58,2433396
59,2295210
60,7600365
61,5560814
62,5220196
63,5613376
64,2191803
65,5490207
66,2656137
67,3042014
68,2951249
69,2226328
70,5513099
71,2582268
72,7785675
73,7561414
74,6900441
75,6934978
76,2385880
77,4948080
78,4468108
79,5621360
80,2098901
81,2673420
82,7833809
83,5009939
84,3631952
85,3260500
86,3217172
87,4803321
88,2120346
89,6608727
90,5586631
91,3152069
92,4653842
93,2273933
94,4707835
95,7522677
96,3139102
97,6781569
98,3428964
99,5576041
100,5040473
101,5484993
102,5699701
103,5259051
104,7606838
105,5286511
106,7377804
107,2152822
108,7414573
109,6632516
110,5313044
111,5567217
112,5466370
113,5498887
114,2371081
115,5157542
116,7384279
117,7747354
118,5390027
119,3108932
120,2116263
121,6688776
122,2379719
123,3470000
124,4904373
125,7405902
126,2111857
127,2137868
128,5506617
129,6565736
130,2606458
131,2398843
132,7846700
133,7872637
134,7399451
135,5701914
136,5451347
137,7200397
138,6829112
139,7317222
140,7574427
141,4628357
142,3472064
143,7928799
144,7384155
145,6658675
146,5233186
147,4887546
148,7760277
149,3238628
150,4948062
151,3001859
152,2211293
153,2003678
154,2574136
155,4706135
156,2314936
157,2276079
158,5335968
159,3011690
160,3063585
161,7407904
162,5623979
163,4794668
164,5137510
165,3469787
166,2290872
167,6734014
168,2500471
169,3705367
170,5304443
171,5469974
172,5660274
173,5537718
174,4835269
175,7735938
176,2681529
177,7706180
178,5493960
179,3080856
180,4647310
181,8017373
182,7826709
183,2420741
184,7462213
185,3327260
186,7818335
187,6686390
188,7919734
189,3353142
190,2580207
191,7462102
192,5485105
193,2397053
194,7573948
195,3424434
196,3225689
197,5068342
