,0
0,7161766
1,7295366
2,7881269
3,3487280
4,6947934
5,6427373
6,7796887
7,4480993
8,7388632
9,6755719
10,7831282
11,6688569
12,7498782
13,7686697
14,7617608
15,7738548
16,7783505
17,4377370
18,7645595
19,6682327
20,4565341
21,7790225
22,7427081
23,7544077
24,4692702
25,7146571
26,7260933
27,4923857
28,7260843
29,6420895
30,7370939
31,7414398
32,7122859
33,7643450
34,7394889
35,6971673
36,5956040
37,7883497
38,6697310
39,7921908
40,4405425
41,7686342
42,6628128
43,7306381
44,6418760
45,7481341
46,4625728
47,7602502
48,6690731
49,4811506
50,7375573
51,3394096
52,7576203
53,8077877
54,7673710
55,6898280
56,8293829
57,5917068
58,7170338
59,6686646
60,7931007
61,6723251
62,7935292
63,7520051
64,6999777
65,5901974
66,6699609
67,1511383
68,7956793
69,7734239
70,6850777
71,7166006
72,6606517
73,6811801
74,6634744
75,3489425
76,6442540
77,7278315
78,6749025
79,4472391
80,7895952
81,4632188
82,6665055
83,4921701
84,4632248
85,6679913
86,6701763
87,4681929
88,5941529
89,7356082
90,7388425
91,6885238
92,6584941
93,7749366
94,3502395
95,4738463
96,6900395
97,7137954
98,4532930
99,7852662
100,4932462
101,2681557
102,6680079
103,5612663
104,3210789
105,7373404
106,7637050
107,4869799
108,6498718
109,7399286
110,3225619
111,7369025
112,7332321
113,7623689
114,7623706
115,6675828
116,6557065
117,4889250
118,4887125
119,6572002
120,6744806
121,6680068
122,7714751
123,7777026
124,2580095
125,7477214
126,7315023
127,6848611
128,7338806
129,4792116
130,7777487
131,2308371
132,7582955
133,3039998
134,8064904
135,7811994
136,7876946
137,4349285
138,7371204
139,4928180
140,7710442
141,6589338
142,6898257
143,7453002
144,4822355
145,7286918
146,6744843
147,7557128
148,5532787
149,7518102
150,4979986
151,7442551
152,6600273
153,7954644
154,4880624
155,6781562
156,7109938
157,6664828
158,6582885
159,7485793
160,6781571
161,7760179
162,6760004
163,6716856
164,2308358
165,4334158
166,7479293
167,6835538
168,4913021
169,7747201
170,7351795
171,6863702
172,6667176
173,7377664
174,4783482
175,5871728
176,4517792
177,4861148
178,7585210
179,3134896
180,6686409
181,3219131
182,7492350
183,7457769
184,4884964
185,5940925
186,6580640
187,3113279
188,6813948
189,6721076
190,7727757
191,6749115
192,7440453
193,8051800
194,7369051
195,2638691
196,7809840
197,6917659
198,4437807
199,5580237
200,6852832
201,7596005
202,7427482
203,3716155
204,3372725
205,4519935
206,2174389
207,7392540
208,7369103
209,4796439
210,6718905
211,6606723
212,7390797
213,7394896
214,7619436
215,7656436
216,2573905
217,7559276
218,6932803
219,7815967
220,7135823
221,4295283
222,3662225
223,8326188
224,7539450
225,6747077
226,2297569
227,6582878
228,7561445
229,2495990
230,7135829
231,4934634
232,2659970
233,7373334
234,7498595
235,6831251
236,3173957
237,6718882
238,6760045
239,7220085
240,7288897
241,3137018
242,4479224
243,7172503
244,7770949
245,7325786
246,7790316
247,6818383
248,6984632
249,5586635
