,0
0,3314191
1,3214979
2,2392686
3,3162950
4,7959112
5,2684290
6,2662673
7,2217781
8,2438068
9,7539925
10,3411534
11,6647619
12,2148618
13,2140035
14,3100219
15,7436162
16,6705978
17,2403466
18,7961226
19,2176553
20,3413652
21,2675624
22,2284671
23,2124854
24,7613391
25,7531254
26,3502324
27,3275349
28,6727610
29,3024642
30,3359628
31,2517960
32,6617442
33,7613285
34,3123985
35,6734066
36,2271605
37,3245149
38,2226329
39,3513076
40,2461793
41,3316388
42,8207344
43,3236548
44,3001125
45,2226342
46,7969860
47,6628245
48,7643568
49,2392689
50,3279772
51,7950280
52,6647691
53,5138116
54,2690753
55,7468584
56,6710288
57,2470486
58,3149994
59,2442360
60,3443928
61,3314164
62,2094654
63,2515827
64,2401231
65,3085146
66,2137788
67,6600134
68,7541912
69,3221331
70,5596091
71,7526966
72,3176104
73,2152857
74,6680087
75,6608777
76,7420995
77,3409363
78,2990216
79,2157355
80,3310016
81,2479098
82,7544269
83,7462107
84,3335838
85,4874177
86,2105410
87,2671281
88,7963389
89,6772945
90,7576105
91,2124812
92,2152886
93,2077325
94,7349736
95,6623907
96,3139181
97,3009581
98,7732104
99,3227977
100,3108872
101,3044074
102,3000889
103,7539826
104,6613098
105,3171530
106,3303420
107,3476353
108,3411494
109,3057260
110,2701566
111,2679971
112,2243685
113,7863995
114,2241454
115,2513643
116,2111900
117,2293369
118,2319158
119,7896468
120,2336508
121,3558556
122,3355336
123,2245862
124,5433155
125,2161610
126,7347393
127,7261039
128,2491942
129,2312788
130,3327258
131,3016035
132,3264624
133,3478547
134,2237151
135,2682117
136,3195553
137,3042118
138,3128297
139,2291220
140,3063562
141,2310621
142,2109761
143,6699476
144,3454713
145,3312018
146,3411516
147,3456972
148,2386191
149,3335842
150,2360262
151,7976365
152,3329447
153,2450974
154,2414297
155,2511383
156,7972076
157,7833715
158,3042152
159,7418893
160,3357507
161,3253838
162,3309914
163,7863994
164,2649758
165,2127020
166,2466011
167,7561413
168,3232138
169,2987962
170,2148621
171,6680031
172,3100316
173,6649824
174,2364628
175,3340186
176,5366184
177,2252331
178,7948236
179,7421047
180,2679991
181,5535008
182,6675714
183,3493669
184,2185304
185,2206899
186,2703705
187,7440403
188,5580923
189,2764271
190,2198248
191,7511771
192,3143431
193,3005248
194,7397192
195,2127095
196,2578485
197,3124073
198,2103314
199,7751058
200,3301340
201,7488006
202,2308437
203,7859675
204,2388394
205,3314246
206,7408047
207,3236514
208,3236553
209,7937401
210,6645547
211,3497908
212,2332120
213,7965567
214,7630637
215,2375395
216,7630608
217,7462061
218,7978552
219,2805301
220,3130501
221,3031208
222,3013849
223,6731904
224,3042146
225,7487995
226,2319239
227,2373244
228,3173964
229,3461223
230,2373188
231,4995549
232,3322984
233,2204816
234,2301977
235,2338598
236,2351648
237,3160976
238,7807682
239,3027014
240,7531234
241,3251695
242,7933112
243,3063536
244,7645739
245,3422284
246,2481285
247,2487757
248,7403754
249,3322809
250,3065724
251,2826919
252,7889979
253,7896441
254,3063596
255,7967715
256,2647506
257,3238569
258,2355993
259,3277578
260,3156693
261,2111894
262,2213420
263,2412080
264,2176766
265,8034683
266,6729757
267,2319270
268,2584970
269,2241467
270,2122793
271,3292575
272,3264583
273,2094677
274,3214887
275,7626275
276,5688916
277,7537617
278,3225658
279,2593582
280,3279570
281,6632586
282,3478550
283,2677779
284,3281919
285,7555011
286,2088116
287,2606458
288,5528545
289,3024687
290,3176108
291,2139929
292,2176680
293,2643288
294,3098371
295,2539590
296,2373256
297,3331587
298,7855392
299,2131295
300,7740784
301,7392960
302,8049749
303,2528665
304,2155114
305,3262476
306,6751368
307,7956883
308,3394241
309,3374778
310,3435244
311,7877011
312,4993367
313,2409977
314,2416406
315,2664801
316,8034670
317,2295513
318,2392687
319,7718653
320,2224209
321,2375374
322,2200490
323,3098117
324,3039986
325,2263105
326,2219877
327,3243051
328,3472108
329,2144387
330,2563360
331,3322822
332,2187470
333,2667003
334,7959093
335,6669242
336,2079497
337,2457498
338,3078641
339,2148592
340,7915891
341,7954715
342,2785877
343,3296877
344,5408116
345,2595653
346,7928847
347,3286102
348,7401513
349,7738587
350,8067063
351,2137868
352,3279748
353,7989311
354,2122700
355,2267430
356,3299253
357,2420776
358,7377882
359,2304109
360,2161662
361,2461829
362,6664980
363,5522602
364,7390790
365,7537747
366,2708025
367,2349502
368,3044307
369,7529127
370,3318465
371,7851069
372,2520131
373,3413638
374,5155379
375,7874832
376,3322876
377,2172270
378,3312020
379,3288302
380,2692865
381,3504459
382,7682374
383,6600111
384,7905104
385,3344428
386,6762176
387,2204797
388,2332156
389,3316463
390,2202560
391,7989194
392,6721140
393,2403427
394,2401316
395,4997708
396,3117611
397,2435920
398,2235003
399,3281730
400,2429329
401,6682252
402,3206203
403,2645348
404,8058412
405,3247362
406,2360330
407,2762103
408,2083897
409,3031116
410,7918078
411,7315177
412,4893625
413,6727584
414,2120554
415,3206353
416,7915844
417,3387706
418,3130495
419,3322954
420,7959035
421,2090273
422,7840208
423,2994563
424,7980674
425,2217753
426,3312153
427,3046273
428,2381892
429,2155074
430,3333665
431,2174431
432,7453367
433,2146445
434,3281812
435,7863998
436,3149969
437,7924549
438,2178847
439,3266811
440,3450493
441,3098324
442,2081702
443,2412091
444,3208353
445,3028999
446,3508760
447,8092995
448,2129215
449,3173688
450,3242901
451,2042754
