latbin,lonbin,area,sumproduct_y2_change,y2_change
-90.0,-180.0,,,
-90.0,-178.0,,,
-90.0,-176.0,,,
-90.0,-174.0,,,
-90.0,-172.0,,,
-90.0,-170.0,,,
-90.0,-168.0,,,
-90.0,-166.0,,,
-90.0,-164.0,,,
-90.0,-162.0,,,
-90.0,-160.0,,,
-90.0,-158.0,,,
-90.0,-156.0,,,
-90.0,-154.0,,,
-90.0,-152.0,,,
-90.0,-150.0,,,
-90.0,-148.0,,,
-90.0,-146.0,,,
-90.0,-144.0,,,
-90.0,-142.0,,,
-90.0,-140.0,,,
-90.0,-138.0,,,
-90.0,-136.0,,,
-90.0,-134.0,,,
-90.0,-132.0,,,
-90.0,-130.0,,,
-90.0,-128.0,,,
-90.0,-126.0,,,
-90.0,-124.0,,,
-90.0,-122.0,,,
-90.0,-120.0,,,
-90.0,-118.0,,,
-90.0,-116.0,,,
-90.0,-114.0,,,
-90.0,-112.0,,,
-90.0,-110.0,,,
-90.0,-108.0,,,
-90.0,-106.0,,,
-90.0,-104.0,,,
-90.0,-102.0,,,
-90.0,-100.0,,,
-90.0,-98.0,,,
-90.0,-96.0,,,
-90.0,-94.0,,,
-90.0,-92.0,,,
-90.0,-90.0,,,
-90.0,-88.0,,,
-90.0,-86.0,,,
-90.0,-84.0,,,
-90.0,-82.0,,,
-90.0,-80.0,,,
-90.0,-78.0,,,
-90.0,-76.0,,,
-90.0,-74.0,,,
-90.0,-72.0,,,
-90.0,-70.0,,,
-90.0,-68.0,,,
-90.0,-66.0,,,
-90.0,-64.0,,,
-90.0,-62.0,,,
-90.0,-60.0,,,
-90.0,-58.0,,,
-90.0,-56.0,,,
-90.0,-54.0,,,
-90.0,-52.0,,,
-90.0,-50.0,,,
-90.0,-48.0,,,
-90.0,-46.0,,,
-90.0,-44.0,,,
-90.0,-42.0,,,
-90.0,-40.0,,,
-90.0,-38.0,,,
-90.0,-36.0,,,
-90.0,-34.0,,,
-90.0,-32.0,,,
-90.0,-30.0,,,
-90.0,-28.0,,,
-90.0,-26.0,,,
-90.0,-24.0,,,
-90.0,-22.0,,,
-90.0,-20.0,,,
-90.0,-18.0,,,
-90.0,-16.0,,,
-90.0,-14.0,,,
-90.0,-12.0,,,
-90.0,-10.0,,,
-90.0,-8.0,,,
-90.0,-6.0,,,
-90.0,-4.0,,,
-90.0,-2.0,,,
-90.0,0.0,,,
-90.0,2.0,,,
-90.0,4.0,,,
-90.0,6.0,,,
-90.0,8.0,,,
-90.0,10.0,,,
-90.0,12.0,,,
-90.0,14.0,,,
-90.0,16.0,,,
-90.0,18.0,,,
-90.0,20.0,,,
-90.0,22.0,,,
-90.0,24.0,,,
-90.0,26.0,,,
-90.0,28.0,,,
-90.0,30.0,,,
-90.0,32.0,,,
-90.0,34.0,,,
-90.0,36.0,,,
-90.0,38.0,,,
-90.0,40.0,,,
-90.0,42.0,,,
-90.0,44.0,,,
-90.0,46.0,,,
-90.0,48.0,,,
-90.0,50.0,,,
-90.0,52.0,,,
-90.0,54.0,,,
-90.0,56.0,,,
-90.0,58.0,,,
-90.0,60.0,,,
-90.0,62.0,,,
-90.0,64.0,,,
-90.0,66.0,,,
-90.0,68.0,,,
-90.0,70.0,,,
-90.0,72.0,,,
-90.0,74.0,,,
-90.0,76.0,,,
-90.0,78.0,,,
-90.0,80.0,,,
-90.0,82.0,,,
-90.0,84.0,,,
-90.0,86.0,,,
-90.0,88.0,,,
-90.0,90.0,,,
-90.0,92.0,,,
-90.0,94.0,,,
-90.0,96.0,,,
-90.0,98.0,,,
-90.0,100.0,,,
-90.0,102.0,,,
-90.0,104.0,,,
-90.0,106.0,,,
-90.0,108.0,,,
-90.0,110.0,,,
-90.0,112.0,,,
-90.0,114.0,,,
-90.0,116.0,,,
-90.0,118.0,,,
-90.0,120.0,,,
-90.0,122.0,,,
-90.0,124.0,,,
-90.0,126.0,,,
-90.0,128.0,,,
-90.0,130.0,,,
-90.0,132.0,,,
-90.0,134.0,,,
-90.0,136.0,,,
-90.0,138.0,,,
-90.0,140.0,,,
-90.0,142.0,,,
-90.0,144.0,,,
-90.0,146.0,,,
-90.0,148.0,,,
-90.0,150.0,,,
-90.0,152.0,,,
-90.0,154.0,,,
-90.0,156.0,,,
-90.0,158.0,,,
-90.0,160.0,,,
-90.0,162.0,,,
-90.0,164.0,,,
-90.0,166.0,,,
-90.0,168.0,,,
-90.0,170.0,,,
-90.0,172.0,,,
-90.0,174.0,,,
-90.0,176.0,,,
-90.0,178.0,,,
-88.0,-180.0,,,
-88.0,-178.0,,,
-88.0,-176.0,,,
-88.0,-174.0,,,
-88.0,-172.0,,,
-88.0,-170.0,,,
-88.0,-168.0,,,
-88.0,-166.0,,,
-88.0,-164.0,,,
-88.0,-162.0,,,
-88.0,-160.0,,,
-88.0,-158.0,,,
-88.0,-156.0,,,
-88.0,-154.0,,,
-88.0,-152.0,,,
-88.0,-150.0,,,
-88.0,-148.0,,,
-88.0,-146.0,,,
-88.0,-144.0,,,
-88.0,-142.0,,,
-88.0,-140.0,,,
-88.0,-138.0,,,
-88.0,-136.0,,,
-88.0,-134.0,,,
-88.0,-132.0,,,
-88.0,-130.0,,,
-88.0,-128.0,,,
-88.0,-126.0,,,
-88.0,-124.0,,,
-88.0,-122.0,,,
-88.0,-120.0,,,
-88.0,-118.0,,,
-88.0,-116.0,,,
-88.0,-114.0,,,
-88.0,-112.0,,,
-88.0,-110.0,,,
-88.0,-108.0,,,
-88.0,-106.0,,,
-88.0,-104.0,,,
-88.0,-102.0,,,
-88.0,-100.0,,,
-88.0,-98.0,,,
-88.0,-96.0,,,
-88.0,-94.0,,,
-88.0,-92.0,,,
-88.0,-90.0,,,
-88.0,-88.0,,,
-88.0,-86.0,,,
-88.0,-84.0,,,
-88.0,-82.0,,,
-88.0,-80.0,,,
-88.0,-78.0,,,
-88.0,-76.0,,,
-88.0,-74.0,,,
-88.0,-72.0,,,
-88.0,-70.0,,,
-88.0,-68.0,,,
-88.0,-66.0,,,
-88.0,-64.0,,,
-88.0,-62.0,,,
-88.0,-60.0,,,
-88.0,-58.0,,,
-88.0,-56.0,,,
-88.0,-54.0,,,
-88.0,-52.0,,,
-88.0,-50.0,,,
-88.0,-48.0,,,
-88.0,-46.0,,,
-88.0,-44.0,,,
-88.0,-42.0,,,
-88.0,-40.0,,,
-88.0,-38.0,,,
-88.0,-36.0,,,
-88.0,-34.0,,,
-88.0,-32.0,,,
-88.0,-30.0,,,
-88.0,-28.0,,,
-88.0,-26.0,,,
-88.0,-24.0,,,
-88.0,-22.0,,,
-88.0,-20.0,,,
-88.0,-18.0,,,
-88.0,-16.0,,,
-88.0,-14.0,,,
-88.0,-12.0,,,
-88.0,-10.0,,,
-88.0,-8.0,,,
-88.0,-6.0,,,
-88.0,-4.0,,,
-88.0,-2.0,,,
-88.0,0.0,,,
-88.0,2.0,,,
-88.0,4.0,,,
-88.0,6.0,,,
-88.0,8.0,,,
-88.0,10.0,,,
-88.0,12.0,,,
-88.0,14.0,,,
-88.0,16.0,,,
-88.0,18.0,,,
-88.0,20.0,,,
-88.0,22.0,,,
-88.0,24.0,,,
-88.0,26.0,,,
-88.0,28.0,,,
-88.0,30.0,,,
-88.0,32.0,,,
-88.0,34.0,,,
-88.0,36.0,,,
-88.0,38.0,,,
-88.0,40.0,,,
-88.0,42.0,,,
-88.0,44.0,,,
-88.0,46.0,,,
-88.0,48.0,,,
-88.0,50.0,,,
-88.0,52.0,,,
-88.0,54.0,,,
-88.0,56.0,,,
-88.0,58.0,,,
-88.0,60.0,,,
-88.0,62.0,,,
-88.0,64.0,,,
-88.0,66.0,,,
-88.0,68.0,,,
-88.0,70.0,,,
-88.0,72.0,,,
-88.0,74.0,,,
-88.0,76.0,,,
-88.0,78.0,,,
-88.0,80.0,,,
-88.0,82.0,,,
-88.0,84.0,,,
-88.0,86.0,,,
-88.0,88.0,,,
-88.0,90.0,,,
-88.0,92.0,,,
-88.0,94.0,,,
-88.0,96.0,,,
-88.0,98.0,,,
-88.0,100.0,,,
-88.0,102.0,,,
-88.0,104.0,,,
-88.0,106.0,,,
-88.0,108.0,,,
-88.0,110.0,,,
-88.0,112.0,,,
-88.0,114.0,,,
-88.0,116.0,,,
-88.0,118.0,,,
-88.0,120.0,,,
-88.0,122.0,,,
-88.0,124.0,,,
-88.0,126.0,,,
-88.0,128.0,,,
-88.0,130.0,,,
-88.0,132.0,,,
-88.0,134.0,,,
-88.0,136.0,,,
-88.0,138.0,,,
-88.0,140.0,,,
-88.0,142.0,,,
-88.0,144.0,,,
-88.0,146.0,,,
-88.0,148.0,,,
-88.0,150.0,,,
-88.0,152.0,,,
-88.0,154.0,,,
-88.0,156.0,,,
-88.0,158.0,,,
-88.0,160.0,,,
-88.0,162.0,,,
-88.0,164.0,,,
-88.0,166.0,,,
-88.0,168.0,,,
-88.0,170.0,,,
-88.0,172.0,,,
-88.0,174.0,,,
-88.0,176.0,,,
-88.0,178.0,,,
-86.0,-180.0,,,
-86.0,-178.0,,,
-86.0,-176.0,,,
-86.0,-174.0,,,
-86.0,-172.0,,,
-86.0,-170.0,,,
-86.0,-168.0,,,
-86.0,-166.0,,,
-86.0,-164.0,,,
-86.0,-162.0,,,
-86.0,-160.0,,,
-86.0,-158.0,,,
-86.0,-156.0,,,
-86.0,-154.0,,,
-86.0,-152.0,,,
-86.0,-150.0,,,
-86.0,-148.0,,,
-86.0,-146.0,,,
-86.0,-144.0,,,
-86.0,-142.0,,,
-86.0,-140.0,,,
-86.0,-138.0,,,
-86.0,-136.0,,,
-86.0,-134.0,,,
-86.0,-132.0,,,
-86.0,-130.0,,,
-86.0,-128.0,,,
-86.0,-126.0,,,
-86.0,-124.0,,,
-86.0,-122.0,,,
-86.0,-120.0,,,
-86.0,-118.0,,,
-86.0,-116.0,,,
-86.0,-114.0,,,
-86.0,-112.0,,,
-86.0,-110.0,,,
-86.0,-108.0,,,
-86.0,-106.0,,,
-86.0,-104.0,,,
-86.0,-102.0,,,
-86.0,-100.0,,,
-86.0,-98.0,,,
-86.0,-96.0,,,
-86.0,-94.0,,,
-86.0,-92.0,,,
-86.0,-90.0,,,
-86.0,-88.0,,,
-86.0,-86.0,,,
-86.0,-84.0,,,
-86.0,-82.0,,,
-86.0,-80.0,,,
-86.0,-78.0,,,
-86.0,-76.0,,,
-86.0,-74.0,,,
-86.0,-72.0,,,
-86.0,-70.0,,,
-86.0,-68.0,,,
